word,reading,translation,example,level
猫,ねこ,貓,猫が好きです。,JLPT_N5
犬,いぬ,狗,犬と公園で遊びます。,JLPT_N5
水,みず,水,毎日水を飲みます。,JLPT_N5
食べる,たべる,吃,ご飯を食べます。,JLPT_N5
行く,いく,去,学校へ行きます。,JLPT_N5
来る,くる,來,友達が来ます。,JLPT_N5
見る,みる,看,テレビを見ます。,JLPT_N5
大きい,おおきい,大的,大きい家に住んでいます。,JLPT_N5
新しい,あたらしい,新的,新しい本を買いました。,JLPT_N5
今日,きょう,今天,今日は晴れです。,JLPT_N5
明日,あした,明天,明日は休みです。,JLPT_N5
学校,がっこう,學校,学校へ歩いて行きます。,JLPT_N5
友達,ともだち,朋友,友達と遊びます。,JLPT_N5
電車,でんしゃ,電車,電車で通勤します。,JLPT_N4
勉強,べんきょう,學習,毎日日本語を勉強しています。,JLPT_N4
図書館,としょかん,圖書館,図書館で本を読みます。,JLPT_N4
病院,びょういん,醫院,病院へ行きました。,JLPT_N4
旅行,りょこう,旅行,来月日本へ旅行します。,JLPT_N4
音楽,おんがく,音樂,音楽を聴くのが好きです。,JLPT_N4
料理,りょうり,料理,毎晩料理を作ります。,JLPT_N4
天気,てんき,天氣,今日の天気はいいです。,JLPT_N4
週末,しゅうまつ,週末,週末に映画を見ます。,JLPT_N4
運動,うんどう,運動,毎日運動しています。,JLPT_N4
買い物,かいもの,購物,スーパーで買い物します。,JLPT_N4
電話,でんわ,電話,友達に電話をかけます。,JLPT_N4
仕事,しごと,工作,仕事が忙しいです。,JLPT_N4
約束,やくそく,約定,友達との約束があります。,JLPT_N4
経験,けいけん,經驗,色々な経験をしました。,JLPT_N3
文化,ぶんか,文化,日本の文化を学びます。,JLPT_N3
環境,かんきょう,環境,環境を大切にしましょう。,JLPT_N3
技術,ぎじゅつ,技術,技術が急速に進歩しています。,JLPT_N3
問題,もんだい,問題,この問題は難しいです。,JLPT_N3
解決,かいけつ,解決,問題を解決しました。,JLPT_N3
社会,しゃかい,社會,社会に貢献したいです。,JLPT_N3
情報,じょうほう,資訊,最新の情報を収集します。,JLPT_N3
関係,かんけい,關係,良い人間関係を築きます。,JLPT_N3
影響,えいきょう,影響,気候変動は環境に影響を与えます。,JLPT_N3
発展,はってん,發展,経済が発展しています。,JLPT_N3
目標,もくひょう,目標,高い目標を設定しました。,JLPT_N3
批判,ひはん,批評/批判,建設的な批判は重要です。,JLPT_N2
矛盾,むじゅん,矛盾,この論理には矛盾があります。,JLPT_N2
概念,がいねん,概念,新しい概念を理解するのは難しい。,JLPT_N2
貢献,こうけん,貢獻,研究の発展に貢献しました。,JLPT_N2
根拠,こんきょ,根據,発言には根拠が必要です。,JLPT_N2
曖昧,あいまい,曖昧/模糊,曖昧な表現は避けるべきです。,JLPT_N2
抽象,ちゅうしょう,抽象,抽象的な概念を具体化します。,JLPT_N1
懸念,けねん,擔憂,環境問題への懸念が高まっています。,JLPT_N1
斬新,ざんしん,嶄新/創新,斬新なアイデアが評価されました。,JLPT_N1
逆説,ぎゃくせつ,悖論/矛盾,それは興味深い逆説です。,JLPT_N1
俯瞰,ふかん,俯瞰/全局觀察,問題を俯瞰して考えることが大切です。,JLPT_N1
