word,reading,translation,example,level
apple,,蘋果,I eat an apple every day.,TOEIC_300
book,,書,She reads a book before bed.,TOEIC_300
cat,,貓,The cat is sleeping on the sofa.,TOEIC_300
door,,門,Please close the door.,TOEIC_300
eat,,吃,We eat lunch at noon.,TOEIC_300
friend,,朋友,He is my best friend.,TOEIC_300
happy,,快樂的,I am very happy today.,TOEIC_300
job,,工作,She found a new job.,TOEIC_300
learn,,學習,I learn English every day.,TOEIC_300
money,,錢,He saved a lot of money.,TOEIC_300
open,,開啟,Please open the window.,TOEIC_300
school,,學校,They go to school by bus.,TOEIC_300
time,,時間,I don't have enough time.,TOEIC_300
work,,工作/運作,She works at a hospital.,TOEIC_300
year,,年,He has lived here for three years.,TOEIC_300
schedule,,行程表,Please check your schedule.,TOEIC_300_500
meeting,,會議,The meeting starts at nine.,TOEIC_300_500
report,,報告,She submitted her report on time.,TOEIC_300_500
project,,專案,The project was completed last week.,TOEIC_300_500
client,,客戶,We must satisfy our clients.,TOEIC_300_500
deadline,,截止日期,The deadline is tomorrow.,TOEIC_300_500
budget,,預算,We need to stay within budget.,TOEIC_300_500
office,,辦公室,He works in a large office.,TOEIC_300_500
manager,,經理,The manager approved the plan.,TOEIC_300_500
product,,產品,This product is very popular.,TOEIC_300_500
service,,服務,The customer service was excellent.,TOEIC_300_500
department,,部門,She leads the sales department.,TOEIC_300_500
training,,培訓,All new staff must attend training.,TOEIC_300_500
negotiate,,談判,They negotiated a new contract.,TOEIC_500_700
strategy,,策略,The company changed its strategy.,TOEIC_500_700
revenue,,營收,Revenue increased by twenty percent.,TOEIC_500_700
implement,,實施,We will implement the new system next month.,TOEIC_500_700
evaluate,,評估,We need to evaluate the results.,TOEIC_500_700
collaborate,,合作,Teams collaborated across departments.,TOEIC_500_700
proposal,,提案,She submitted a detailed proposal.,TOEIC_500_700
forecast,,預測,The sales forecast looks promising.,TOEIC_500_700
efficiency,,效率,We improved operational efficiency.,TOEIC_500_700
stakeholder,,利害關係人,All stakeholders approved the plan.,TOEIC_500_700
subsequent,,後續的,Subsequent tests confirmed the result.,TOEIC_700_900
fiscal,,財政的,The fiscal year ends in December.,TOEIC_700_900
compliance,,合規,Regulatory compliance is mandatory.,TOEIC_700_900
leverage,,善用/槓桿,We can leverage this technology.,TOEIC_700_900
facilitate,,促進,The workshop facilitates team communication.,TOEIC_700_900
benchmark,,基準/標竿,This sets a new industry benchmark.,TOEIC_700_900
unprecedented,,前所未有的,The company achieved unprecedented growth.,TOEIC_900PLUS
mitigate,,減輕/緩解,We must mitigate operational risks.,TOEIC_900PLUS
paradigm,,典範/模式,This shifts the entire paradigm.,TOEIC_900PLUS
scrutiny,,仔細審查,The proposal is under close scrutiny.,TOEIC_900PLUS
ambiguity,,模糊性/歧義,Ambiguity in contracts causes disputes.,TOEIC_900PLUS
