word,reading,translation,example,level
analyze,,分析,We need to analyze the data carefully.,TOEIC_500_700
schedule,,時間表,Let me check my schedule first.,TOEIC_500_700
implement,,實施,We will implement the new policy next month.,TOEIC_700_900
negotiate,,談判,They negotiated a contract with the supplier.,TOEIC_700_900
collaborate,,合作,We collaborate with teams across departments.,TOEIC_700_900
deadline,,截止日期,The deadline for the report is Friday.,TOEIC_500_700
revenue,,營收,The company's revenue increased by 20%.,TOEIC_700_900
budget,,預算,We need to stay within the budget.,TOEIC_500_700
proposal,,提案,She submitted a proposal to the manager.,TOEIC_500_700
approve,,批准,The board approved the new strategy.,TOEIC_500_700
invoice,,發票,Please send the invoice by email.,TOEIC_500_700
inventory,,庫存,We need to check the inventory levels.,TOEIC_700_900
negotiate,,協商,Both parties negotiated the terms of the deal.,TOEIC_700_900
headquarters,,總部,The headquarters is located in Tokyo.,TOEIC_700_900
subsidiary,,子公司,This is a subsidiary of a global corporation.,TOEIC_900PLUS
